Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-tantra-bath-treatment,Traditional - Tantra - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Tantra",true,Size,13,#VALUE!,22,22,Traditional,Bath_Treatment,Tantra,100g,,,,,Traditional - Tantra - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Tantra_-_Front.png,1,Traditional - Tantra - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Tantra_-_Front.png,g,,,active
traditional-tantra-bath-treatment,,,,,,,,13,#VALUE!,22,22,Traditional,Bath_Treatment,Tantra,250g,,,,,Traditional - Tantra - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Tantra_-_Front.png,g,,,active
traditional-tantra-bath-treatment,,,,,,,,13,#VALUE!,22,22,Traditional,Bath_Treatment,Tantra,1kg,,,,,Traditional - Tantra - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Tantra_-_Front.png,g,,,active
traditional-talk-like-a-pirate-bath-treatment,Traditional - Talk Like A Pirate - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Talk Like A Pirate",true,Size,13,#VALUE!,34,34,Traditional,Bath_Treatment,Talk_Like_A_Pirate,100g,,,,,Traditional - Talk Like A Pirate - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Talk_Like_A_Pirate_-_Front.png,1,Traditional - Talk Like A Pirate - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Talk_Like_A_Pirate_-_Front.png,g,,,active
traditional-talk-like-a-pirate-bath-treatment,,,,,,,,13,#VALUE!,34,34,Traditional,Bath_Treatment,Talk_Like_A_Pirate,250g,,,,,Traditional - Talk Like A Pirate - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Talk_Like_A_Pirate_-_Front.png,g,,,active
traditional-talk-like-a-pirate-bath-treatment,,,,,,,,13,#VALUE!,34,34,Traditional,Bath_Treatment,Talk_Like_A_Pirate,1kg,,,,,Traditional - Talk Like A Pirate - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Talk_Like_A_Pirate_-_Front.png,g,,,active
traditional-sweetgrass-bath-treatment,Traditional - Sweetgrass - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Sweetgrass",true,Size,13,#VALUE!,26,26,Traditional,Bath_Treatment,Sweetgrass,100g,,,,,Traditional - Sweetgrass - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Sweetgrass_-_Front.png,1,Traditional - Sweetgrass - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Sweetgrass_-_Front.png,g,,,active
traditional-sweetgrass-bath-treatment,,,,,,,,13,#VALUE!,26,26,Traditional,Bath_Treatment,Sweetgrass,250g,,,,,Traditional - Sweetgrass - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Sweetgrass_-_Front.png,g,,,active
traditional-sweetgrass-bath-treatment,,,,,,,,13,#VALUE!,26,26,Traditional,Bath_Treatment,Sweetgrass,1kg,,,,,Traditional - Sweetgrass - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Sweetgrass_-_Front.png,g,,,active
traditional-shine-bath-treatment,Traditional - Shine - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Shine",true,Size,13,#VALUE!,21,21,Traditional,Bath_Treatment,Shine,100g,,,,,Traditional - Shine - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Shine_-_Front.png,1,Traditional - Shine - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Shine_-_Front.png,g,,,active
